Price,temp
2.403,3.9
2.403,3.6
2.402,3.3
2.319,2.8
2.41,2.8
2.501,2.4
2.562,2.1
2.587,1.9
2.618,1.8
2.574,1.7
2.689,1.3
2.748,1.3
2.804,1
2.87,0
2.966,-0.9
3.038,0
3.08,-1.1
3.093,-0.1
3.078,0
3.051,-0.3
3.019,-1
2.994,-1.5
2.965,-2.4
2.936,-3.1
2.94,-3.8
2.891,-4.1
2.811,-3.8
2.789,-3.6
2.826,-3.6
3.043,-3.5
3.285,-3.5
3.391,-3.4
3.487,-3.2
3.522,-2.9
3.541,-2.6
3.507,-2.6
3.485,-2.5
3.47,-2.6
3.48,-2.7
3.593,-2.7
3.752,-3.2
3.848,-3.5
3.688,-3.9
3.552,-4.2
3.523,-4.6
3.474,-4.8
3.299,-5.2
3.094,-5.4
3.065,-5.6
3.037,-6.2
3.015,-6.1
3.014,-6.1
3.04,-6.1
3.224,-6.2
3.35,-6
3.58,-5.9
3.678,-5.7
3.617,-5.6
3.54,-5.4
3.492,-5.4
3.481,-5.3
3.409,-5.3
3.425,-5.1
3.451,-5.9
3.495,-7
3.459,-8.5
3.406,-9.8
3.293,-8.6
3.18,-8.7
3.051,-9.7
2.927,-4
2.846,-3.9
2.593,-4.1
2.541,-4.8
2.535,-5.8
2.545,-5.8
2.597,-8.7
2.787,-9.6
2.892,-10.4
3.065,-10.8
3.213,-10.6
3.327,-10.6
3.352,-11.8
3.393,-12.8
3.393,-13.8
3.394,-14.5
3.415,-15.5
3.53,-16.8
3.628,-17.5
3.681,-17.9
3.555,-18
3.45,-17.8
3.389,-17.7
3.302,-17.8
3.233,-17.8
3.044,-17.7
3.051,-17.8
3.023,-17.8
3,-17.9
3.006,-17.6
3.061,-17.3
3.245,-17.3
3.487,-17.7
4.207,-18
4.338,-17.9
4.204,-17.3
4.304,-16.8
4.454,-16.3
4.456,-15.9
4.466,-16.2
4.499,-16.3
5.61,-16.6
6.97,-16.8
7.392,-17.1
7.199,-17.2
5.008,-17.4
4.489,-17.9
4.205,-18.1
3.722,-18.3
3.465,-19.1
3.584,-19.6
3.554,-19.3
3.459,-18.4
3.428,-18.8
3.416,-20.1
3.259,-20.1
3.432,-20.4
3.397,-20.5
3.4,-19.6
3.405,-19.2
3.455,-17.2
3.458,-16.2
3.416,-15.4
3.392,-15.9
3.388,-16.6
3.492,-17.7
3.495,-16.8
3.473,-16.3
3.471,-16.5
3.342,-6.7
3.213,-7.1
3.156,-7.4
3.018,-7.5
2.901,-7.1
2.935,-6.7
2.888,-5.8
2.828,-5.3
2.784,-5
2.804,-5.1
2.864,-5.2
2.91,-5.4
2.949,-5.2
2.997,-4.9
3.072,-4.4
3.147,-3.9
3.19,-3.1
3.152,-2.7
3.132,-2.5
3.185,-2.1
3.283,-1.5
3.462,-0.5
3.518,-0.3
3.428,-0.6
3.335,-0.6
3.267,-1
3.255,-1.4
3.184,-2
3.06,-2.1
3.075,-1.9
3.064,-1.8
3.053,-1.6
3.054,-1.5
3.063,-1.4
3.07,-1.4
3.077,-1
3.058,-0.7
3.075,-0.4
3.109,-0.4
3.193,-1
3.099,-0.8
3.096,-0.2
3.087,0.7
3.085,0.9
3.096,0.8
3.16,0.8
3.184,1.6
3.146,1.5
3.115,1.6
3.083,1.7
3.095,1.8
3.055,1.5
2.989,1.3
2.956,1
2.911,0.7
2.899,0.2
2.916,0
2.971,-0.3
3.041,-0.4
3.485,-0.5
4.312,-0.5
3.615,-0.3
3.565,0.2
3.55,0.5
3.396,0.7
3.311,0.9
3.273,1.2
3.383,1.3
3.612,1.5
3.616,1.8
3.613,1.9
3.618,1.9
3.141,1.9
3.05,1.6
3.007,1.7
2.957,1.8
2.883,1.7
2.616,1.9
2.557,1.8
2.549,1.8
2.557,2
2.777,2.4
2.893,2.6
3.208,3
3.99,3
3.493,2.9
3.181,2.7
3.114,2.6
3.106,2.8
3.099,2.5
3.1,2.1
3.101,1.5
3.198,1.9
3.207,1.9
3.119,1.4
3.102,1.2
3.054,1
2.981,0.9
2.955,1
2.915,0.9
2.808,0.7
2.438,0.7
2.278,0.7
2.205,0.6
2.21,0.1
2.36,-0.6
2.588,-0.6
2.89,0
3.024,-0.2
3.06,-0.1
3.029,-0.4
3.03,-1.2
3.026,-1.8
3.028,-1.8
3.027,-1.7
2.96,-1.6
2.993,-1.8
3.176,-2.2
3.09,-2.7
3.026,-3.1
2.913,-3.2
2.86,-2.5
2.791,-2.4
2.627,-2.1
2.429,-1.7
2.217,-1.8
1.807,-2
1.738,-2.1
1.743,-2.6
2.349,-2.4
2.498,-2.5
2.97,-2.9
3.07,-3.3
3.301,-3.4
3.606,-3.2
3.555,-2.9
3.498,-2.4
3.491,-2.2
3.163,-2.1
3.391,-2.1
3.688,-2.2
3.721,-2
3.607,-2.2
3.608,-1.8
2.988,-1.8
2.95,-1.6
2.943,-1.3
